-3.00 11.08403  5.12507
-2.85 11.08009  5.12701
-2.70 11.07702  5.12863
-2.55 11.07467  5.12994
-2.40 11.07293  5.13099
-2.25 11.07168  5.13180
-2.10 11.07083  5.13240
-1.95 11.07026  5.13283
-1.80 11.06989  5.13311
-1.65 11.06966  5.13327
-1.50 11.06950  5.13333
-1.35 11.06936  5.13331
-1.20 11.06918  5.13321
-1.05 11.06893  5.13306
-0.90 11.06859  5.13286
-0.75 11.06814  5.13263
-0.60 11.06755  5.13236
-0.45 11.06681  5.13208
-0.30 11.06591  5.13179
-0.15 11.06483  5.13148
 0.00 11.06357  5.13118
 0.15 11.06213  5.13088
 0.30 11.06048  5.13059
 0.45 11.05864  5.13031
 0.60 11.05659  5.13005
 0.75 11.05434  5.12981
 0.90 11.05189  5.12959
 1.05 11.04923  5.12940
 1.20 11.04636  5.12924
 1.35 11.04330  5.12911
 1.50 11.04003  5.12903
 1.65 11.03656  5.12900
 1.80 11.03293  5.12903
 1.95 11.02914  5.12914
 2.10 11.02526  5.12933
 2.25 11.02135  5.12965
 2.40 11.01759  5.13013
 2.55 11.01422  5.13082
 2.70 11.01120  5.13176
 2.85 11.01120  5.13176
 3.00 11.00899  5.13467
